"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"12335","XHPRO1582A","2.374","55","52","151","109","209","2017/3/18 13:00:00"
"12336","XHPRO1582A","0.74","65","28","114","63","144","2017/3/18 18:00:00"
"12337","XHPRO1582A","1.465","58","18","72","96","208","2017/9/1 20:00:00"
"12338","XHPRO1582A","1.268","19","14","192","120","183","2017/9/1 16:00:00"
"12339","XHPRO1582A","1.629","137","50","9","192","287","2017/3/18 23:00:00"
"12340","XHPRO1582A","0.776","40","21","158","91","127","2017/3/18 16:00:00"
"12341","XHPRO1582A","1.1","81","42","27","57","","2017/3/20 22:00:00"
"12342","XHPRO1582A","1.282","23","15","193","101","163","2017/9/1 17:00:00"
"12343","XHPRO1582A","7.629","142","172","24","256","390","2017/3/18 10:00:00"
"12344","XHPRO1582A","1.294","130","37","30","139","205","2017/3/18 21:00:00"
"12345","XHPRO1582A","1.923","103","46","8","49","221","2017/3/20 23:00:00"
"12346","XHPRO1582A","1.299","41","31","160","61","144","2017/3/18 14:00:00"
"12347","XHPRO1582A","1.344","18","16","184","85","169","2017/9/1 15:00:00"
"12348","XHPRO1582A","1.036","95","35","79","113","174","2017/3/18 19:00:00"
"12349","XHPRO1582A","1.045","126","48","41","134","203","2017/3/16 20:00:00"
"12350","XHPRO1582A","1.236","108","51","9","140","295","2017/3/17 6:00:00"
"12351","XHPRO1582A","1.493","150","55","23","159","265","2017/3/17 19:00:00"
"12352","XHPRO1582A","2.07","143","64","9","186","298","2017/3/17 23:00:00"
"12353","XHPRO1582A","0.962","123","39","20","95","214","2017/3/17 3:00:00"
"12354","XHPRO1582A","2.226","140","65","10","170","338","2017/3/18"
"12355","XHPRO1582A","1.862","91","55","85","101","181","2017/3/16 12:00:00"
"12356","XHPRO1582A","0.847","67","40","127","118","189","2017/3/16 18:00:00"
"12357","XHPRO1582A","1.661","124","25","38","142","228","2017/9/30 22:00:00"
"12358","XHPRO1582A","1.058","126","38","10","112","179","2017/3/17 4:00:00"
"12359","XHPRO1582A","2.369","153","66","11","191","353","2017/3/18 5:00:00"
"12360","XHPRO1582A","0.866","60","37","149","99","206","2017/3/16 16:00:00"
