"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"260","XHPRO1193A","0.736","10","31","58","75","106","2016/12/16 17:00:00"
"261","XHPRO1193A","1.093","61","27","6","124","160","2016/12/17 8:00:00"
"262","XHPRO1193A","1.226","68","32","4","119","186","2016/12/17 5:00:00"
"263","XHPRO1193A","1.197","70","32","21","63","127","2016/12/17 18:00:00"
"264","XHPRO1193A","0.824","17","26","46","107","176","2016/12/17"
"265","XHPRO1193A","0.823","10","27","50","75","134","2016/12/17 13:00:00"
"266","XHPRO1193A","0.728","13","24","53","56","90","2016/12/17 16:00:00"
"267","XHPRO1193A","1.047","38","24","21","100","139","2016/12/17 3:00:00"
"268","XHPRO1193A","1.042","37","29","23","121","191","2016/12/17 11:00:00"
"269","XHPRO1193A","1.156","68","34","5","124","170","2016/12/17 6:00:00"
"270","XHPRO1193A","0.945","66","29","34","76","106","2016/12/16 18:00:00"
"271","XHPRO1193A","0.963","25","29","55","131","166","2016/12/16 15:00:00"
"272","XHPRO1193A","1.097","76","28","32","144","212","2016/12/16 21:00:00"
"273","XHPRO1193A","1.264","63","29","7","121","164","2016/12/17 9:00:00"
"274","XHPRO1193A","0.83","12","26","45","92","136","2016/12/17 1:00:00"
"275","XHPRO1193A","0.993","40","27","42","129","178","2016/12/16 22:00:00"
"276","XHPRO1193A","0.835","11","28","54","66","97","2016/12/17 14:00:00"
"277","XHPRO1193A","1.406","138","32","5","97","157","2016/12/16 19:00:00"
"278","XHPRO1193A","0.909","21","28","38","100","152","2016/12/17 12:00:00"
"279","XHPRO1193A","1.138","44","30","16","132","214","2016/12/17 10:00:00"
"280","XHPRO1193A","0.785","29","27","42","47","93","2016/12/17 17:00:00"
"281","XHPRO1193A","0.904","33","27","44","128","196","2016/12/16 23:00:00"
"282","XHPRO1193A","0.989","30","25","29","107","133","2016/12/17 2:00:00"
"283","XHPRO1193A","1.045","55","32","10","128","183","2016/12/17 7:00:00"
"284","XHPRO1193A","0.757","10","25","55","64","72","2016/12/17 15:00:00"
"285","XHPRO1193A","1.698","115","41","5","113","162","2016/12/17 19:00:00"
"286","XHPRO1193A","0.818","15","31","","95","127","2016/12/16 16:00:00"
"287","XHPRO1193A","1.513","131","32","6","126","226","2016/12/16 20:00:00"
"288","XHPRO1193A","1.118","73","24","6","109","159","2016/12/17 4:00:00"
"289","XHPRO1193A","0.601","14","7","68","9","35","2017/9/30 6:00:00"
"290","XHPRO1193A","1.789","41","39","40","206","150","2016/12/27 19:00:00"
"291","XHPRO1193A","1.792","53","44","","171","172","2016/12/27 17:00:00"
"292","XHPRO1193A","1.83","47","36","34","144","143","2016/12/27 20:00:00"
"293","XHPRO1193A","1.69","41","42","","138","149","2016/12/27 18:00:00"
"294","XHPRO1193A","1.975","115","38","3","104","157","2016/12/28 20:00:00"
"295","XHPRO1193A","0.91","22","33","38","68","87","2016/12/28 14:00:00"
"296","XHPRO1193A","0.914","26","33","42","74","64","2016/12/28 16:00:00"
"297","XHPRO1193A","1.635","109","36","4","78","93","2016/12/28 19:00:00"
"298","XHPRO1193A","1.29","65","37","20","66","73","2016/12/28 18:00:00"
"299","XHPRO1193A","0.857","25","32","26","71","85","2016/12/28 12:00:00"
"300","XHPRO1193A","0.979","34","33","39","58","101","2016/12/28 17:00:00"
"301","XHPRO1193A","0.928","30","30","15","98","111","2016/12/28 11:00:00"
"302","XHPRO1193A","0.92","29","34","29","66","60","2016/12/28 13:00:00"
"303","XHPRO1193A","0.928","23","32","41","64","70","2016/12/28 15:00:00"
"304","XHPRO1193A","1.833","61","34","2","139","157","2016/12/28 3:00:00"
"305","XHPRO1193A","1.853","64","26","11","147","158","2016/12/27 23:00:00"
"306","XHPRO1193A","2.038","74","28","2","157","173","2016/12/28 1:00:00"
"307","XHPRO1193A","1.684","47","32","4","132","140","2016/12/28 5:00:00"
"308","XHPRO1193A","1.656","59","39","2","139","158","2016/12/28 7:00:00"
"309","XHPRO1193A","1.352","48","31","5","134","137","2016/12/28 9:00:00"
"310","XHPRO1193A","1.718","39","33","31","148","149","2016/12/27 21:00:00"
"311","XHPRO1193A","1.683","51","30","4","150","153","2016/12/28 4:00:00"
"312","XHPRO1193A","2.046","68","35","2","166","176","2016/12/28 2:00:00"
"313","XHPRO1193A","1.764","43","28","23","136","159","2016/12/27 22:00:00"
"314","XHPRO1193A","1.982","82","26","3","154","158","2016/12/28"
"315","XHPRO1193A","1.192","41","31","8","104","135","2016/12/28 10:00:00"
"316","XHPRO1193A","1.539","59","31","2","135","152","2016/12/28 8:00:00"
"317","XHPRO1193A","1.697","53","41","3","153","169","2016/12/28 6:00:00"
"318","XHPRO1193A","1.308","98","52","9","136","192","2017/1/21 22:00:00"
"319","XHPRO1193A","1.165","55","39","26","107","179","2017/1/21 23:00:00"
"320","XHPRO1193A","1.35","102","58","9","157","219","2017/1/21 21:00:00"
"321","XHPRO1193A","1.152","42","42","27","106","148","2017/1/22"
"322","XHPRO1193A","0.632","6","22","76","51","86","2016/10/6 11:00:00"
"323","XHPRO1193A","0.519","7","26","118","38","75","2016/10/5 16:00:00"
"324","XHPRO1193A","2.342","70","57","42","95","194","2016/10/5 20:00:00"
"325","XHPRO1193A","1.269","14","30","71","154","209","2016/10/6"
"326","XHPRO1193A","0.763","15","28","46","74","93","2016/10/6 8:00:00"
"327","XHPRO1193A","0.463","6","25","91","46","93","2016/10/6 16:00:00"
"328","XHPRO1193A","0.662","7","37","83","44","100","2016/10/5 12:00:00"
"329","XHPRO1193A","0.628","4","24","86","48","86","2016/10/6 12:00:00"
"330","XHPRO1193A","0.781","7","23","51","117","124","2016/10/6 4:00:00"
"331","XHPRO1193A","1.202","11","27","60","158","200","2016/10/6 1:00:00"
"332","XHPRO1193A","0.513","3","28","98","45","92","2016/10/5 13:00:00"
"333","XHPRO1193A","0.549","9","26","117","34","70","2016/10/5 17:00:00"
"334","XHPRO1193A","2.767","72","63","31","162","233","2016/10/5 21:00:00"
"335","XHPRO1193A","0.611","7","24","92","50","92","2016/10/6 13:00:00"
"336","XHPRO1193A","0.464","12","21","88","28","87","2016/10/6 17:00:00"
"337","XHPRO1193A","0.661","4","26","58","87","125","2016/10/6 5:00:00"
"338","XHPRO1193A","0.727","11","26","51","56","109","2016/10/6 9:00:00"
"339","XHPRO1193A","1.099","6","26","57","151","169","2016/10/6 2:00:00"
"340","XHPRO1193A","0.712","6","28","51","61","88","2016/10/6 6:00:00"
"341","XHPRO1193A","0.499","7","26","108","32","84","2016/10/5 14:00:00"
"342","XHPRO1193A","0.717","29","28","100","35","91","2016/10/5 18:00:00"
"343","XHPRO1193A","1.36","58","44","36","179","250","2016/10/5 22:00:00"
"344","XHPRO1193A","0.584","5","23","92","51","92","2016/10/6 14:00:00"
"345","XHPRO1193A","0.466","17","22","79","79","95","2016/10/6 18:00:00"
"346","XHPRO1193A","0.676","10","24","61","55","100","2016/10/6 10:00:00"
"347","XHPRO1193A","0.886","10","29","45","54","73","2016/10/6 7:00:00"
